EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID
140;Joshua;Patel;JPATEL;6.501.211.834;31/03/2015;ST_CLERK;2500;;123;50
141;Trenna;Rajs;TRAJS;6.501.218.009;8/02/2018;ST_CLERK;3500;;124;50
142;Curtis;Davies;CDAVIES;6.501.212.994;20/12/2015;ST_CLERK;3100;;124;50
143;Randall;Matos;RMATOS;6.501.212.874;4/02/2013;ST_CLERK;2600;;124;50
144;Peter;Vargas;PVARGAS;6.501.212.004;14/05/2015;ST_CLERK;2500;;124;50
145;John;Russell;JRUSSEL;011.44.1344.429268;24/05/2021;SA_MAN;14000;0.4;100;80
146;Karen;Partners;KPARTNER;011.44.1344.467268;25/05/2012;SA_MAN;13500;0.3;100;80
147;Alberto;Errazuriz;AERRAZUR;011.44.1344.429278;31/05/2015;SA_MAN;12000;0.3;100;80
148;Gerald;Cambrault;GCAMBRAU;011.44.1344.619268;16/04/2014;SA_MAN;11000;0.3;100;80
149;Eleni;Zlotkey;EZLOTKEY;011.44.1344.429018;22/08/2014;SA_MAN;10500;0.2;100;80
150;Peter;Tucker;PTUCKER;011.44.1344.129268;5/08/2015;SA_REP;10000;0.3;145;80
151;David;Bernstein;DBERNSTE;011.44.1344.345268;23/11/2018;SA_REP;9500;0.25;145;80
152;Peter;Hall;PHALL;011.44.1344.478968;15/12/2019;SA_REP;9000;0.25;145;80
153;Christopher;Olsen;COLSEN;011.44.1344.498718;1/01/2017;SA_REP;8000;0.2;145;80
154;Nanette;Cambrault;NCAMBRAU;011.44.1344.987668;13/02/2016;SA_REP;7500;0.2;145;80
155;Oliver;Tuvault;OTUVAULT;011.44.1344.486508;4/12/2017;SA_REP;7000;0.15;145;80
156;Janette;King;JKING;011.44.1345.429268;23/03/2020;SA_REP;10000;0.35;146;80
157;Patrick;Sully;PSULLY;011.44.1345.929268;24/12/2018;SA_REP;9500;0.35;146;80
158;Allan;McEwen;AMCEWEN;011.44.1345.829268;30/04/2014;SA_REP;9000;0.35;146;80
159;Lindsey;Smith;LSMITH;011.44.1345.729268;8/09/2021;SA_REP;8000;0.3;146;80
160;Louise;Doran;LDORAN;011.44.1345.629268;15/09/2015;SA_REP;7500;0.3;146;80
161;Sarath;Sewall;SSEWALL;011.44.1345.529268;23/04/2019;SA_REP;7000;0.25;146;80
162;Clara;Vishney;CVISHNEY;011.44.1346.129268;19/04/2020;SA_REP;10500;0.25;147;80
163;Danielle;Greene;DGREENE;011.44.1346.229268;12/08/2017;SA_REP;9500;0.15;147;80
164;Mattea;Marvins;MMARVINS;011.44.1346.329268;15/08/2020;SA_REP;7200;0.1;147;80
165;David;Lee;DLEE;011.44.1346.529268;5/11/2021;SA_REP;6800;0.1;147;80
166;Sundar;Ande;SANDE;011.44.1346.629268;5/12/2014;SA_REP;6400;0.1;147;80
167;Amit;Banda;ABANDA;011.44.1346.729268;11/09/2019;SA_REP;6200;0.1;147;80
168;Lisa;Ozer;LOZER;011.44.1343.929268;1/12/2018;SA_REP;11500;0.25;148;80
169;Harrison;Bloom;HBLOOM;011.44.1343.829268;10/11/2015;SA_REP;10000;0.2;148;80
170;Tayler;Fox;TFOX;011.44.1343.729268;10/04/2015;SA_REP;9600;0.2;148;80
171;William;Smith;WSMITH;011.44.1343.629268;22/04/2013;SA_REP;7400;0.15;148;80
172;Elizabeth;Bates;EBATES;011.44.1343.529268;20/11/2014;SA_REP;7300;0.15;148;80
173;Sundita;Kumar;SKUMAR;011.44.1343.329268;13/07/2019;SA_REP;6100;0.1;148;80
175;Alyssa;Hutton;AHUTTON;011.44.1644.429266;25/02/2018;SA_REP;8800;0.25;149;80
176;Jonathon;Taylor;JTAYLOR;011.44.1644.429265;31/03/2015;SA_REP;8600;0.2;149;80
177;Jack;Livingston;JLIVINGS;011.44.1644.429264;20/06/2018;SA_REP;8400;0.2;149;80
178;Kimberely;Grant;KGRANT;011.44.1644.429263;8/05/2018;SA_REP;7000;0.15;149;null
179;Charles;Johnson;CJOHNSON;011.44.1644.429262;1/01/2013;SA_REP;6200;0.1;149;80
180;Winston;Taylor;WTAYLOR;6.505.079.876;11/01/2021;SH_CLERK;3200;;120;50
181;Jean;Fleaur;JFLEAUR;6.505.079.877;1/08/2016;SH_CLERK;3100;;120;50
182;Martha;Sullivan;MSULLIVA;6.505.079.878;21/06/2015;SH_CLERK;2500;;120;50
183;Girard;Geoni;GGEONI;6.505.079.879;19/09/2019;SH_CLERK;2800;;120;50
184;Nandita;Sarchand;NSARCHAN;6.505.091.876;13/02/2015;SH_CLERK;4200;;121;50
185;Alexis;Bull;ABULL;6.505.092.876;8/09/2016;SH_CLERK;4100;;121;50
186;Julia;Dellinger;JDELLING;6.505.093.876;6/01/2014;SH_CLERK;3400;;121;50
187;Anthony;Cabrio;ACABRIO;6.505.094.876;4/02/2014;SH_CLERK;3000;;121;50
188;Kelly;Chung;KCHUNG;6.505.051.876;23/12/2015;SH_CLERK;3800;;122;50
189;Jennifer;Dilly;JDILLY;6.505.052.876;15/06/2013;SH_CLERK;3600;;122;50
190;Timothy;Gates;TGATES;6.505.053.876;16/07/2021;SH_CLERK;2900;;122;50
191;Randall;Perkins;RPERKINS;6.505.054.876;26/04/2017;SH_CLERK;2500;;122;50
192;Sarah;Bell;SBELL;6.505.011.876;21/01/2015;SH_CLERK;4000;;123;50
193;Britney;Everett;BEVERETT;6.505.012.876;12/06/2013;SH_CLERK;3900;;123;50
194;Samuel;McCain;SMCCAIN;6.505.013.876;26/03/2013;SH_CLERK;3200;;123;50
195;Vance;Jones;VJONES;6.505.014.876;16/02/2016;SH_CLERK;2800;;123;50
196;Alana;Walsh;AWALSH;6.505.079.811;18/09/2017;SH_CLERK;3100;;124;50
197;Kevin;Feeney;KFEENEY;6.505.079.822;24/12/2020;SH_CLERK;3000;;124;50
198;Donald;OConnell;DOCONNEL;6.505.079.833;13/12/2016;SH_CLERK;2600;;124;50
199;Douglas;Grant;DGRANT;6.505.079.844;27/03/2015;SH_CLERK;2600;;124;50
200;Jennifer;Whalen;JWHALEN;5.151.234.444;11/08/2012;AD_ASST;4400;;101;10
201;Michael;Hartstein;MHARTSTE;5.151.235.555;8/06/2017;MK_MAN;13000;;100;20
202;Pat;Fay;PFAY;6.031.236.666;17/11/2017;MK_REP;6000;;201;20
203;Susan;Mavris;SMAVRIS;5.151.237.777;3/05/2021;HR_REP;6500;;101;40
204;Hermann;Baer;HBAER;5.151.238.888;5/08/2018;PR_REP;10000;;101;70
205;Shelley;Higgins;SHIGGINS;5.151.238.080;6/10/2014;AC_MGR;12000;;101;110
206;William;Gietz;WGIETZ;5.151.238.181;12/07/2012;AC_ACCOUNT;8300;;205;110
